num_poliza,nombre_producto,riesgo,sexo,moneda,fecha nacimiento,fecha inicio,fecha fin,gastos_adm,monto prima,suma_asegurada
c-6701003071717,producto 01,Vida grupo particular,F,PEN,1972-09-18,2019-12-03,2024-12-03,0.1,63.0,1500.0
c-6701003071769,producto 01,Vida grupo particular,F,PEN,1949-02-01,2019-12-03,2024-12-03,0.1,137.0,1650.0
c-6701003071846,producto 01,Vida grupo particular,F,PEN,1940-04-02,2019-12-03,2024-12-03,0.1,157.0,2410.0
c-6701003072024,producto 01,Vida grupo particular,F,PEN,1967-07-12,2019-12-03,2024-12-03,0.1,159.0,2800.0
c-6701003072041,producto 01,Vida grupo particular,F,PEN,1953-09-08,2019-12-04,2024-12-04,0.1,196.0,4000.0
c-6701003072079,producto 01,Vida grupo particular,F,PEN,1952-11-05,2019-12-04,2024-12-04,0.1,138.0,2700.0
c-6701003072220,producto 01,Vida grupo particular,F,PEN,1956-05-29,2019-12-04,2024-12-04,0.1,100.0,1300.0
c-6701003072230,producto 01,Vida grupo particular,F,PEN,1950-03-11,2019-12-04,2024-12-04,0.1,191.0,2715.0
c-6701003072543,producto 01,Vida grupo particular,F,PEN,1977-10-05,2019-12-04,2024-12-04,0.1,141.0,1800.0
c-6701003072861,producto 01,Vida grupo particular,F,PEN,1951-04-12,2019-12-04,2024-12-04,0.1,162.0,2200.0
c-6701003072876,producto 01,Vida grupo particular,F,PEN,1946-08-23,2019-12-04,2024-12-04,0.1,32.0,2200.0
c-6701003073198,producto 01,Vida grupo particular,F,PEN,1943-01-08,2019-12-04,2024-12-04,0.1,34.0,800.0
c-6701003073264,producto 01,Vida grupo particular,F,PEN,1965-02-16,2019-12-04,2024-12-04,0.1,153.0,2000.0
c-6701003073573,producto 01,Vida grupo particular,F,PEN,1967-08-07,2019-12-05,2024-12-05,0.1,133.0,2000.0
c-6701003073656,producto 01,Vida grupo particular,F,PEN,1964-08-27,2019-12-05,2024-12-05,0.1,4.0,1000.1
c-6701003073667,producto 01,Vida grupo particular,F,PEN,1943-02-16,2019-12-05,2024-12-05,0.1,46.0,1650.0
c-6701003073687,producto 01,Vida grupo particular,F,PEN,1962-03-24,2019-12-05,2024-12-05,0.1,105.0,1200.0
c-6701003073818,producto 01,Vida grupo particular,F,PEN,1971-07-21,2019-12-05,2024-12-05,0.1,202.0,2900.0
c-6701003073820,producto 01,Vida grupo particular,F,PEN,1941-10-12,2019-12-05,2024-12-05,0.1,61.0,800.0
c-6701003073910,producto 01,Vida grupo particular,F,PEN,1952-09-11,2019-12-05,2024-12-05,0.1,152.0,3500.0
c-6701003073983,producto 01,Vida grupo particular,F,PEN,1963-05-04,2019-12-05,2024-12-05,0.1,46.0,2200.0
c-6701003074263,producto 01,Vida grupo particular,F,PEN,1949-12-18,2019-12-05,2024-12-05,0.1,112.0,1600.0
c-6701003074274,producto 01,Vida grupo particular,F,PEN,1965-08-17,2019-12-05,2024-12-05,0.1,88.0,2000.0
c-6701003074274,producto 01,Vida grupo particular,F,PEN,1965-08-17,2019-12-05,2024-12-09,0.1,58.0,2000.0
c-6701003074314,producto 01,Vida grupo particular,F,PEN,1964-08-03,2019-12-05,2024-12-05,0.1,161.0,2300.0
c-6701003075070,producto 01,Vida grupo particular,F,PEN,1941-12-19,2019-12-06,2024-12-06,0.1,52.0,1200.0
c-6701003075187,producto 01,Vida grupo particular,F,PEN,1940-04-17,2019-12-06,2024-12-06,0.1,1.0,1000.0
